Clase	Piel	Patas	Cojea	Color
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas4	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	Si	Azulado
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas4	No	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	Si	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas6	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Wacka	Escamosa	Patas4	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Escamosa	Patas4	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas6	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Rojizo
Wacka	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas4	Si	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas6	Si	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas6	No	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Azulado
Wacka	Peluda	Patas4	No	Azulado
Wurro	Peluda	Patas6	Si	Rojizo
Wacka	Peluda	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas6	Si	Rojizo
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Escamosa	Patas4	Si	Azulado
Hobexa	Escamosa	Patas5	Si	Rojizo
Wacka	Escamosa	Patas4	Si	Azulado
Wacka	Escamosa	Patas5	Si	Azulado
Wacka	Peluda	Patas5	Si	Rojizo
Hobexa	Escamosa	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas4	No	Azulado
Wurro	Peluda	Patas5	Si	Rojizo
Wacka	Peluda	Patas4	No	Azulado
Wacka	Peluda	Patas5	Si	Azulado
Hobexa	Escamosa	Patas6	No	Azulado
Wacka	Escamosa	Patas4	No	Azulado
Hobexa	Escamosa	Patas6	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas5	Si	Rojizo
Wurro	Peluda	Patas5	Si	Rojizo
Wurro	Peluda	Patas6	Si	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
Wurro	Peluda	Patas6	No	Rojizo
Hobexa	Escamosa	Patas4	No	Rojizo
